BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
691;11DEC2005:00:00:00;B;16APR2013:00:00:00;10
691;17APR2013:00:00:00;B;31DEC9999:00:00:00;9
693;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
701;28JAN2004:00:00:00;B;07FEB2009:00:00:00;120
701;08FEB2009:00:00:00;B;18JAN2010:00:00:00;100
701;19JAN2010:00:00:00;B;10FEB2011:00:00:00;90
701;11FEB2011:00:00:00;B;31MAR2017:00:00:00;85
701;01APR2017:00:00:00;B;31DEC9999:00:00:00;80
703;28JAN2004:00:00:00;B;31DEC9999:00:00:00;110
714;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
714;08FEB2009:00:00:00;B;18JAN2010:00:00:00;90
714;19JAN2010:00:00:00;B;19APR2016:00:00:00;80
714;20APR2016:00:00:00;B;31DEC9999:00:00:00;78
727;28JAN2004:00:00:00;B;10FEB2011:00:00:00;80
727;11FEB2011:00:00:00;B;31DEC9999:00:00:00;70
745;28JAN2004:00:00:00;B;31DEC9999:00:00:00;120
756;28JAN2004:00:00:00;B;31DEC9999:00:00:00;70
763;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100
764;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
764;08FEB2009:00:00:00;B;18JAN2010:00:00:00;80
764;19JAN2010:00:00:00;B;31DEC9999:00:00:00;70
774;28JAN2004:00:00:00;B;18JAN2010:00:00:00;110
774;19JAN2010:00:00:00;B;31DEC9999:00:00:00;90
776;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
776;08FEB2009:00:00:00;B;18JAN2010:00:00:00;90
776;19JAN2010:00:00:00;B;19APR2016:00:00:00;80
776;20APR2016:00:00:00;B;31DEC9999:00:00:00;78
777;28JAN2004:00:00:00;B;07FEB2009:00:00:00;120
777;08FEB2009:00:00:00;B;18JAN2010:00:00:00;110
777;19JAN2010:00:00:00;B;10FEB2011:00:00:00;80
777;11FEB2011:00:00:00;B;31MAR2019:00:00:00;75
779;11NOV2007:00:00:00;B;07FEB2009:00:00:00;90
779;08FEB2009:00:00:00;B;18JAN2010:00:00:00;75
779;19JAN2010:00:00:00;B;10FEB2011:00:00:00;65
779;11FEB2011:00:00:00;B;12JUL2017:00:00:00;55
779;13JUL2017:00:00:00;B;31DEC9999:00:00:00;55
780;28JAN2004:00:00:00;B;18JAN2010:00:00:00;100
780;19JAN2010:00:00:00;B;19APR2016:00:00:00;90
780;20APR2016:00:00:00;B;31MAR2017:00:00:00;88
780;01APR2017:00:00:00;B;13APR2018:00:00:00;85
783;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100
785;28JAN2004:00:00:00;B;18JAN2010:00:00:00;80
785;19JAN2010:00:00:00;B;31DEC9999:00:00:00;70
805;31JAN2005:00:00:00;B;31DEC9999:00:00:00;1100
806;31JAN2005:00:00:00;B;31DEC9999:00:00:00;550
812;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
812;08FEB2009:00:00:00;B;12APR2014:00:00:00;90
812;13APR2014:00:00:00;B;19APR2016:00:00:00;89
812;20APR2016:00:00:00;B;31DEC9999:00:00:00;86
813;28JAN2004:00:00:00;B;18JAN2010:00:00:00;110
813;19JAN2010:00:00:00;B;31DEC9999:00:00:00;90
814;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
814;08FEB2009:00:00:00;B;18JAN2010:00:00:00;90
814;19JAN2010:00:00:00;B;12APR2014:00:00:00;80
814;13APR2014:00:00:00;B;31DEC9999:00:00:00;79
821;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
821;08FEB2009:00:00:00;B;18JAN2010:00:00:00;80
821;19JAN2010:00:00:00;B;10FEB2011:00:00:00;70
821;11FEB2011:00:00:00;B;12APR2014:00:00:00;65
821;13APR2014:00:00:00;B;31DEC9999:00:00:00;60
822;28JAN2004:00:00:00;B;12APR2014:00:00:00;100
822;13APR2014:00:00:00;B;31DEC9999:00:00:00;90
823;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100
884;28JAN2004:00:00:00;B;31DEC9999:00:00:00;200
901;30DEC2004:00:00:00;B;31DEC9999:00:00:00;800
902;30DEC2004:00:00:00;B;31DEC9999:00:00:00;1200
903;30APR2007:00:00:00;B;31DEC9999:00:00:00;500
904;30APR2007:00:00:00;B;31DEC9999:00:00:00;1000
905;30APR2007:00:00:00;B;31DEC9999:00:00:00;500
906;30APR2007:00:00:00;B;31DEC9999:00:00:00;800
907;30APR2007:00:00:00;B;31DEC9999:00:00:00;1200
966;28JAN2004:00:00:00;B;10FEB2011:00:00:00;55
966;11FEB2011:00:00:00;B;13APR2018:00:00:00;51
967;28JAN2004:00:00:00;B;10FEB2011:00:00:00;55
967;11FEB2011:00:00:00;B;13APR2018:00:00:00;51
968;28JAN2004:00:00:00;B;10FEB2011:00:00:00;55
968;11FEB2011:00:00:00;B;13APR2018:00:00:00;51
1241;13AUG1997:00:00:00;B;31DEC9999:00:00:00;60
1242;12OCT1997:00:00:00;B;31DEC9999:00:00:00;80
1245;11DEC2005:00:00:00;B;04SEP2014:00:00:00;30
1246;11DEC2005:00:00:00;B;18JAN2010:00:00:00;60
1246;19JAN2010:00:00:00;B;31DEC9999:00:00:00;50
1247;11DEC2005:00:00:00;B;18JAN2010:00:00:00;60
1247;19JAN2010:00:00:00;B;31DEC9999:00:00:00;50
1248;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1249;11DEC2005:00:00:00;B;31DEC9999:00:00:00;120
