BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
1804;19JAN2010:00:00:00;B;10FEB2011:00:00:00;21
1804;11FEB2011:00:00:00;B;30JAN2012:00:00:00;20
1804;31JAN2012:00:00:00;B;16APR2013:00:00:00;15
1804;17APR2013:00:00:00;B;12APR2014:00:00:00;12
1804;13APR2014:00:00:00;B;19APR2016:00:00:00;10
1804;20APR2016:00:00:00;B;31MAR2019:00:00:00;9
1805;28JAN2004:00:00:00;B;18JAN2010:00:00:00;35
1805;19JAN2010:00:00:00;B;10FEB2011:00:00:00;32
1805;11FEB2011:00:00:00;B;17JUN2011:00:00:00;25
1805;18JUN2011:00:00:00;B;31DEC9999:00:00:00;25
1806;11NOV2007:00:00:00;B;07FEB2009:00:00:00;30
1806;08FEB2009:00:00:00;B;18JAN2010:00:00:00;25
1806;19JAN2010:00:00:00;B;10FEB2011:00:00:00;20
1806;11FEB2011:00:00:00;B;12APR2014:00:00:00;15
1806;13APR2014:00:00:00;B;19APR2016:00:00:00;10
1806;20APR2016:00:00:00;B;31MAR2017:00:00:00;7
1806;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
1807;28JAN2004:00:00:00;B;10FEB2011:00:00:00;35
1807;11FEB2011:00:00:00;B;31DEC9999:00:00:00;30
1808;28JAN2004:00:00:00;B;10FEB2011:00:00:00;35
1808;11FEB2011:00:00:00;B;31DEC9999:00:00:00;30
1809;28JAN2004:00:00:00;B;10FEB2011:00:00:00;35
1809;11FEB2011:00:00:00;B;31DEC9999:00:00:00;30
1810;28JAN2004:00:00:00;B;31DEC9999:00:00:00;35
1811;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1811;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1811;11FEB2011:00:00:00;B;31DEC9999:00:00:00;25
1812;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1812;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1812;11FEB2011:00:00:00;B;31DEC9999:00:00:00;25
1813;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1813;08FEB2009:00:00:00;B;18JAN2010:00:00:00;30
1813;19JAN2010:00:00:00;B;10FEB2011:00:00:00;25
1813;11FEB2011:00:00:00;B;17JUN2011:00:00:00;20
1813;18JUN2011:00:00:00;B;31DEC9999:00:00:00;20
1814;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1814;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1814;11FEB2011:00:00:00;B;13APR2018:00:00:00;25
1815;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1815;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1815;11FEB2011:00:00:00;B;13APR2018:00:00:00;25
1816;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1816;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1816;11FEB2011:00:00:00;B;13APR2018:00:00:00;25
1817;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1817;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1817;11FEB2011:00:00:00;B;31MAR2019:00:00:00;20
1818;28JAN2004:00:00:00;B;31DEC9999:00:00:00;35
1819;11NOV2007:00:00:00;B;18JAN2010:00:00:00;30
1819;19JAN2010:00:00:00;B;10FEB2011:00:00:00;25
1819;11FEB2011:00:00:00;B;30JAN2012:00:00:00;20
1819;31JAN2012:00:00:00;B;12APR2014:00:00:00;15
1819;13APR2014:00:00:00;B;13JUL2017:00:00:00;14
1820;28JAN2004:00:00:00;B;07FEB2009:00:00:00;110
1820;08FEB2009:00:00:00;B;31MAR2017:00:00:00;90
1820;01APR2017:00:00:00;B;31DEC9999:00:00:00;80
1821;11NOV2007:00:00:00;B;18JAN2010:00:00:00;90
1821;19JAN2010:00:00:00;B;12APR2014:00:00:00;85
1821;13APR2014:00:00:00;B;19APR2016:00:00:00;84
1821;20APR2016:00:00:00;B;31MAR2017:00:00:00;78
1821;01APR2017:00:00:00;B;13APR2018:00:00:00;75
1822;28JAN2004:00:00:00;B;12JUL2017:00:00:00;60
1822;13JUL2017:00:00:00;B;31DEC9999:00:00:00;60
1823;28JAN2004:00:00:00;B;31DEC9999:00:00:00;80
1824;28JAN2004:00:00:00;B;18JAN2010:00:00:00;120
1824;19JAN2010:00:00:00;B;31DEC9999:00:00:00;90
1825;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100
1826;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100
1827;25DEC2008:00:00:00;B;31MAR2019:00:00:00;60
1828;25DEC2008:00:00:00;B;31MAR2019:00:00:00;60
4;01DEC1998:00:00:00;B;31DEC9999:00:00:00;100
4;01DEC1998:00:00:00;P;31DEC9999:00:00:00;100
5;01DEC1998:00:00:00;B;31DEC9999:00:00:00;130
5;01DEC1998:00:00:00;P;31DEC9999:00:00:00;130
6;01DEC1998:00:00:00;B;31DEC9999:00:00:00;120
6;01DEC1998:00:00:00;P;31DEC9999:00:00:00;120
7;01DEC1998:00:00:00;B;31DEC9999:00:00:00;120
7;01DEC1998:00:00:00;P;31DEC9999:00:00:00;120
8;01DEC1998:00:00:00;B;31DEC9999:00:00:00;220
8;01DEC1998:00:00:00;P;31DEC9999:00:00:00;220
12;01DEC1998:00:00:00;B;31DEC9999:00:00:00;300
12;01DEC1998:00:00:00;P;31DEC9999:00:00:00;300
13;01DEC1998:00:00:00;B;13APR2018:00:00:00;55
13;01DEC1998:00:00:00;P;13APR2018:00:00:00;55
14;01DEC1998:00:00:00;B;31DEC9999:00:00:00;100
14;01DEC1998:00:00:00;P;31DEC9999:00:00:00;100
15;01DEC1998:00:00:00;B;31DEC9999:00:00:00;120
15;01DEC1998:00:00:00;P;31DEC9999:00:00:00;120
16;01DEC1998:00:00:00;B;31DEC9999:00:00:00;130
16;01DEC1998:00:00:00;P;31DEC9999:00:00:00;130
17;01DEC1998:00:00:00;B;31DEC9999:00:00:00;200
17;01DEC1998:00:00:00;P;31DEC9999:00:00:00;200
18;01DEC1998:00:00:00;B;31DEC9999:00:00:00;300
18;01DEC1998:00:00:00;P;31DEC9999:00:00:00;300
21;03OCT2007:00:00:00;B;31DEC9999:00:00:00;50
21;03OCT2007:00:00:00;P;31DEC9999:00:00:00;50
22;04OCT2007:00:00:00;B;31DEC9999:00:00:00;100
22;04OCT2007:00:00:00;P;31DEC9999:00:00:00;100
23;19OCT2009:00:00:00;B;25SEP2010:00:00:00;200
23;19OCT2009:00:00:00;P;25SEP2010:00:00:00;200
23;26SEP2010:00:00:00;B;31DEC9999:00:00:00;200
23;26SEP2010:00:00:00;P;31DEC9999:00:00:00;200
24;19OCT2009:00:00:00;B;25SEP2010:00:00:00;135
24;19OCT2009:00:00:00;P;25SEP2010:00:00:00;135
24;26SEP2010:00:00:00;B;13APR2018:00:00:00;135
24;26SEP2010:00:00:00;P;13APR2018:00:00:00;135
25;19OCT2009:00:00:00;B;25SEP2010:00:00:00;500
25;19OCT2009:00:00:00;P;25SEP2010:00:00:00;500
25;26SEP2010:00:00:00;B;31DEC9999:00:00:00;500
25;26SEP2010:00:00:00;P;31DEC9999:00:00:00;500
40;30DEC2004:00:00:00;B;26NOV2009:00:00:00;850
40;27NOV2009:00:00:00;B;31DEC9999:00:00:00;850
41;11NOV2007:00:00:00;B;26NOV2009:00:00:00;1250
41;27NOV2009:00:00:00;B;16JAN2019:00:00:00;1250
54;28FEB2002:00:00:00;B;19SEP2019:00:00:00;350
59;28FEB2002:00:00:00;B;31DEC9999:00:00:00;200
60;28FEB2002:00:00:00;B;07FEB2009:00:00:00;1600
60;08FEB2009:00:00:00;B;31DEC9999:00:00:00;1550
61;28FEB2002:00:00:00;B;07FEB2009:00:00:00;2800
61;08FEB2009:00:00:00;B;31MAR2019:00:00:00;2600
62;28FEB2002:00:00:00;B;31DEC9999:00:00:00;500
63;28FEB2002:00:00:00;B;19SEP2019:00:00:00;150
64;28FEB2002:00:00:00;B;18SEP2019:00:00:00;150
65;28FEB2002:00:00:00;B;31DEC9999:00:00:00;350
66;28FEB2002:00:00:00;B;31DEC9999:00:00:00;150
67;28FEB2002:00:00:00;B;31DEC9999:00:00:00;350
68;28FEB2002:00:00:00;B;31DEC9999:00:00:00;150
70;26FEB2000:00:00:00;B;31DEC9999:00:00:00;110
71;30MAR1997:00:00:00;B;31DEC9999:00:00:00;45
72;01JAN1996:00:00:00;B;31DEC9999:00:00:00;175
73;01JAN1996:00:00:00;B;31DEC9999:00:00:00;85
74;01JAN1996:00:00:00;B;31DEC9999:00:00:00;130
75;26FEB2000:00:00:00;B;31DEC9999:00:00:00;120
76;01JAN1996:00:00:00;B;31DEC9999:00:00:00;50
77;01JAN1996:00:00:00;B;31DEC9999:00:00:00;280
78;01JAN1996:00:00:00;B;31DEC9999:00:00:00;120
79;01JAN1996:00:00:00;B;31DEC9999:00:00:00;280
80;01JAN1996:00:00:00;B;31DEC9999:00:00:00;110
81;01JAN1996:00:00:00;B;31DEC9999:00:00:00;50
121;01JAN1996:00:00:00;B;11JUL2013:00:00:00;5
126;29JUL2003:00:00:00;B;17JUN2011:00:00:00;20
126;18JUN2011:00:00:00;B;10JUL2013:00:00:00;20
126;11JUL2013:00:00:00;B;13APR2018:00:00:00;20
127;29JUL2003:00:00:00;B;17JUN2011:00:00:00;20
127;18JUN2011:00:00:00;B;10JUL2013:00:00:00;20
127;11JUL2013:00:00:00;B;31DEC9999:00:00:00;20
128;01JAN1996:00:00:00;B;11JUL2013:00:00:00;15
130;01JAN1996:00:00:00;B;11JUL2013:00:00:00;25
132;01JAN1996:00:00:00;B;11JUL2013:00:00:00;60
160;01JAN1996:00:00:00;B;31DEC9999:00:00:00;200
161;01JAN1996:00:00:00;B;31DEC9999:00:00:00;200
162;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
163;01JAN1996:00:00:00;B;31DEC9999:00:00:00;300
164;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
165;01JAN1996:00:00:00;B;31DEC9999:00:00:00;300
171;01JAN1996:00:00:00;B;11JUL2013:00:00:00;20
173;01JAN1996:00:00:00;B;10JUL2013:00:00:00;30
173;11JUL2013:00:00:00;B;31DEC9999:00:00:00;50
174;01JAN1996:00:00:00;B;10JUL2013:00:00:00;20
174;11JUL2013:00:00:00;B;12APR2014:00:00:00;20
174;13APR2014:00:00:00;B;13APR2018:00:00:00;18
175;01JAN1996:00:00:00;B;10JUL2013:00:00:00;30
175;11JUL2013:00:00:00;B;31DEC9999:00:00:00;30
176;01JAN1996:00:00:00;B;11JUL2013:00:00:00;30
177;01JAN1996:00:00:00;B;11JUL2013:00:00:00;30
178;01JAN1996:00:00:00;B;10JUL2013:00:00:00;40
178;11JUL2013:00:00:00;B;31DEC9999:00:00:00;50
179;01JAN1996:00:00:00;B;10JUL2013:00:00:00;40
179;11JUL2013:00:00:00;B;31DEC9999:00:00:00;50
180;01JAN1996:00:00:00;B;10JUL2013:00:00:00;50
180;11JUL2013:00:00:00;B;31DEC9999:00:00:00;50
181;01JAN1996:00:00:00;B;10JUL2013:00:00:00;50
181;11JUL2013:00:00:00;B;31DEC9999:00:00:00;40
182;01JAN1996:00:00:00;B;10JUL2013:00:00:00;20
182;11JUL2013:00:00:00;B;31DEC9999:00:00:00;20
183;01JAN1996:00:00:00;B;11JUL2013:00:00:00;15
185;01JAN1996:00:00:00;B;11JUL2013:00:00:00;30
186;01JAN1996:00:00:00;B;10JUL2013:00:00:00;30
186;11JUL2013:00:00:00;B;31DEC9999:00:00:00;30
187;01JAN1996:00:00:00;B;11JUL2013:00:00:00;40
188;01JAN1996:00:00:00;B;10JUL2013:00:00:00;40
188;11JUL2013:00:00:00;B;13APR2018:00:00:00;40
189;01JAN1996:00:00:00;B;10JUL2013:00:00:00;40
189;11JUL2013:00:00:00;B;31DEC9999:00:00:00;40
190;01JAN1996:00:00:00;B;10JUL2013:00:00:00;50
190;11JUL2013:00:00:00;B;31DEC9999:00:00:00;50
191;01JAN1996:00:00:00;B;10JUL2013:00:00:00;50
191;11JUL2013:00:00:00;B;31DEC9999:00:00:00;50
192;01JAN1996:00:00:00;B;10JUL2013:00:00:00;40
192;11JUL2013:00:00:00;B;31DEC9999:00:00:00;50
214;26FEB2000:00:00:00;B;31DEC9999:00:00:00;60
215;30JUL1997:00:00:00;B;20SEP2019:00:00:00;80
218;30JUL1997:00:00:00;B;31DEC9999:00:00:00;15
219;30JUL1997:00:00:00;B;13APR2018:00:00:00;15
220;30JUL1997:00:00:00;B;31DEC9999:00:00:00;25
221;30JUL1997:00:00:00;B;31DEC9999:00:00:00;25
236;30JUL1997:00:00:00;B;31DEC9999:00:00:00;50
237;30JUL1997:00:00:00;B;10FEB2011:00:00:00;60
237;11FEB2011:00:00:00;B;28JUN2018:00:00:00;50
238;30JUL1997:00:00:00;B;20SEP2019:00:00:00;100
239;01JAN1996:00:00:00;B;31DEC9999:00:00:00;200
240;01JAN1996:00:00:00;B;28JUN2018:00:00:00;30
241;30JUL1997:00:00:00;B;31DEC9999:00:00:00;40
242;30JUL1997:00:00:00;B;31DEC9999:00:00:00;60
243;11AUG1997:00:00:00;B;31DEC9999:00:00:00;40
244;30JUL1997:00:00:00;B;31DEC9999:00:00:00;100
246;01JAN1996:00:00:00;B;04SEP2014:00:00:00;40
247;01JAN1996:00:00:00;B;04SEP2014:00:00:00;80
248;01JAN1996:00:00:00;B;04SEP2014:00:00:00;150
249;30JUL1997:00:00:00;B;04SEP2014:00:00:00;200
250;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
252;30JUL1997:00:00:00;B;31DEC9999:00:00:00;50
253;30JUL1997:00:00:00;B;31DEC9999:00:00:00;70
254;30JUL1997:00:00:00;B;31DEC9999:00:00:00;15
255;30JUL1997:00:00:00;B;31DEC9999:00:00:00;100
256;30JUL1997:00:00:00;B;31DEC9999:00:00:00;75
257;30JUL1997:00:00:00;B;31DEC9999:00:00:00;500
259;30JUL1997:00:00:00;B;09MAY2019:00:00:00;50
262;30JUL1997:00:00:00;B;09MAY2019:00:00:00;50
263;30JUL1997:00:00:00;B;08MAY2019:00:00:00;10
264;30JUL1997:00:00:00;B;08MAY2019:00:00:00;25
266;30JUL1997:00:00:00;B;08MAY2019:00:00:00;25
267;30JUL1997:00:00:00;B;31DEC9999:00:00:00;10
268;30JUL1997:00:00:00;B;31DEC9999:00:00:00;30
269;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
270;01JAN1996:00:00:00;B;31DEC9999:00:00:00;60
271;12OCT1997:00:00:00;B;31DEC9999:00:00:00;40
274;30JUL1997:00:00:00;B;31DEC9999:00:00:00;60
277;30JUL1997:00:00:00;B;31DEC9999:00:00:00;40
280;30JUL1997:00:00:00;B;31DEC9999:00:00:00;50
281;30JUL1997:00:00:00;B;31DEC9999:00:00:00;80
1500;25DEC2008:00:00:00;B;31DEC9999:00:00:00;10
1501;25DEC2008:00:00:00;B;31DEC9999:00:00:00;40
1502;25DEC2008:00:00:00;B;31DEC9999:00:00:00;40
1503;25DEC2008:00:00:00;B;31DEC9999:00:00:00;80
1504;25DEC2008:00:00:00;B;31DEC9999:00:00:00;50
1505;25DEC2008:00:00:00;B;31DEC9999:00:00:00;30
1506;25DEC2008:00:00:00;B;31DEC9999:00:00:00;120
1507;25DEC2008:00:00:00;B;31DEC9999:00:00:00;60
1508;25DEC2008:00:00:00;B;31DEC9999:00:00:00;200
1510;30MAR1997:00:00:00;B;07FEB2009:00:00:00;25
1510;08FEB2009:00:00:00;B;18JAN2010:00:00:00;20
1510;19JAN2010:00:00:00;B;30JAN2012:00:00:00;20
1510;31JAN2012:00:00:00;B;16APR2013:00:00:00;10
1510;17APR2013:00:00:00;B;12APR2014:00:00:00;8
1510;13APR2014:00:00:00;B;19APR2016:00:00:00;7
1510;20APR2016:00:00:00;B;31MAR2017:00:00:00;7
1510;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
1511;01JAN1996:00:00:00;B;07FEB2009:00:00:00;25
1511;08FEB2009:00:00:00;B;12APR2014:00:00:00;20
1511;13APR2014:00:00:00;B;31MAR2017:00:00:00;7
1511;01APR2017:00:00:00;B;31DEC9999:00:00:00;7
1513;01JAN1996:00:00:00;B;31MAR2017:00:00:00;25
1513;01APR2017:00:00:00;B;31DEC9999:00:00:00;25
1518;01JAN1996:00:00:00;B;10FEB2011:00:00:00;40
1518;11FEB2011:00:00:00;B;31DEC9999:00:00:00;30
1519;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60
1520;04JUL2006:00:00:00;B;07FEB2009:00:00:00;25
1520;08FEB2009:00:00:00;B;18JAN2010:00:00:00;20
1520;19JAN2010:00:00:00;B;10FEB2011:00:00:00;12
1520;11FEB2011:00:00:00;B;30JAN2012:00:00:00;12
1520;31JAN2012:00:00:00;B;31MAR2017:00:00:00;7
1520;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
1521;01JAN1996:00:00:00;B;10FEB2011:00:00:00;20
1521;11FEB2011:00:00:00;B;30JAN2012:00:00:00;10
1521;31JAN2012:00:00:00;B;31DEC9999:00:00:00;7
1525;01JAN1996:00:00:00;B;18JAN2010:00:00:00;40
1525;19JAN2010:00:00:00;B;10FEB2011:00:00:00;15
1525;11FEB2011:00:00:00;B;30JAN2012:00:00:00;8
1525;31JAN2012:00:00:00;B;31DEC9999:00:00:00;7
1526;04JUL2006:00:00:00;B;07FEB2009:00:00:00;50
1526;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1526;11FEB2011:00:00:00;B;12APR2014:00:00:00;30
1526;13APR2014:00:00:00;B;13APR2018:00:00:00;25
1527;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1533;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60
1554;27MAR1997:00:00:00;B;31DEC9999:00:00:00;40
1555;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70
1571;28JAN2004:00:00:00;B;07FEB2009:00:00:00;180
1571;08FEB2009:00:00:00;B;31DEC9999:00:00:00;160
1572;28JAN2004:00:00:00;B;07FEB2009:00:00:00;220
1572;08FEB2009:00:00:00;B;31MAR2019:00:00:00;200
1573;28JAN2004:00:00:00;B;31DEC9999:00:00:00;20
1575;28JAN2004:00:00:00;B;10FEB2011:00:00:00;60
1575;11FEB2011:00:00:00;B;16APR2013:00:00:00;58
1575;17APR2013:00:00:00;B;12APR2014:00:00:00;40
1575;13APR2014:00:00:00;B;31DEC9999:00:00:00;35
1576;28JAN2004:00:00:00;B;18JAN2010:00:00:00;40
1576;19JAN2010:00:00:00;B;31DEC9999:00:00:00;30
1577;11NOV2007:00:00:00;B;10FEB2011:00:00:00;50
1577;11FEB2011:00:00:00;B;30JAN2012:00:00:00;40
1577;31JAN2012:00:00:00;B;12APR2014:00:00:00;34
1577;13APR2014:00:00:00;B;19APR2016:00:00:00;30
1577;20APR2016:00:00:00;B;31MAR2017:00:00:00;28
1577;01APR2017:00:00:00;B;13APR2018:00:00:00;27
1601;11NOV2007:00:00:00;B;18JAN2010:00:00:00;15
1601;19JAN2010:00:00:00;B;10FEB2011:00:00:00;12
1601;11FEB2011:00:00:00;B;17JUN2011:00:00:00;10
1601;18JUN2011:00:00:00;B;19APR2016:00:00:00;10
1601;20APR2016:00:00:00;B;31DEC9999:00:00:00;8
1602;11NOV2007:00:00:00;B;07FEB2009:00:00:00;20
1602;08FEB2009:00:00:00;B;26NOV2009:00:00:00;10
1602;27NOV2009:00:00:00;B;16APR2013:00:00:00;10
1602;17APR2013:00:00:00;B;12APR2014:00:00:00;8
1602;13APR2014:00:00:00;B;31DEC9999:00:00:00;7
1603;11NOV2007:00:00:00;B;26NOV2009:00:00:00;10
1603;27NOV2009:00:00:00;B;17JUN2011:00:00:00;10
1603;18JUN2011:00:00:00;B;16APR2013:00:00:00;10
1603;17APR2013:00:00:00;B;12APR2014:00:00:00;8
1603;13APR2014:00:00:00;B;31DEC9999:00:00:00;7
1607;11DEC2005:00:00:00;B;10FEB2011:00:00:00;20
1607;11FEB2011:00:00:00;B;31DEC9999:00:00:00;15
1608;11DEC2005:00:00:00;B;07FEB2009:00:00:00;15
1608;08FEB2009:00:00:00;B;18JAN2010:00:00:00;10
1608;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
1608;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7
1608;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
1609;11DEC2005:00:00:00;B;18JAN2010:00:00:00;20
1609;19JAN2010:00:00:00;B;10FEB2011:00:00:00;17
1609;11FEB2011:00:00:00;B;12APR2014:00:00:00;15
1609;13APR2014:00:00:00;B;19APR2016:00:00:00;13
1609;20APR2016:00:00:00;B;31DEC9999:00:00:00;12
1610;11DEC2005:00:00:00;B;07FEB2009:00:00:00;40
1610;08FEB2009:00:00:00;B;18JAN2010:00:00:00;35
1610;19JAN2010:00:00:00;B;10FEB2011:00:00:00;33
1610;11FEB2011:00:00:00;B;12APR2014:00:00:00;29
1610;13APR2014:00:00:00;B;19APR2016:00:00:00;27
1610;20APR2016:00:00:00;B;31MAR2017:00:00:00;24
1610;01APR2017:00:00:00;B;13APR2018:00:00:00;23
1612;11NOV2007:00:00:00;B;30JAN2012:00:00:00;20
1612;31JAN2012:00:00:00;B;31DEC9999:00:00:00;7
1613;11DEC2005:00:00:00;B;16APR2013:00:00:00;10
1613;17APR2013:00:00:00;B;31DEC9999:00:00:00;9
1614;11DEC2005:00:00:00;B;31DEC9999:00:00:00;35
1615;11DEC2005:00:00:00;B;31DEC9999:00:00:00;70
1616;11DEC2005:00:00:00;B;31DEC9999:00:00:00;180
1619;11DEC2005:00:00:00;B;31DEC9999:00:00:00;180
1620;11DEC2005:00:00:00;B;31DEC9999:00:00:00;140
1621;11DEC2005:00:00:00;B;18JAN2010:00:00:00;20
1621;19JAN2010:00:00:00;B;10FEB2011:00:00:00;16
1621;11FEB2011:00:00:00;B;16APR2013:00:00:00;14
1621;17APR2013:00:00:00;B;31DEC9999:00:00:00;12
1622;01JAN1996:00:00:00;B;24DEC2008:00:00:00;50
1622;25DEC2008:00:00:00;B;31DEC9999:00:00:00;70
1623;01JAN1996:00:00:00;B;25DEC2008:00:00:00;120
1624;01JAN1996:00:00:00;B;24DEC2008:00:00:00;50
1624;25DEC2008:00:00:00;B;31DEC9999:00:00:00;70
1625;01JAN1996:00:00:00;B;25DEC2008:00:00:00;80
1626;01JAN1996:00:00:00;B;24DEC2008:00:00:00;45
1626;25DEC2008:00:00:00;B;31DEC9999:00:00:00;45
1627;01JAN1996:00:00:00;B;24DEC2008:00:00:00;65
1627;25DEC2008:00:00:00;B;31DEC9999:00:00:00;65
1628;01JAN1996:00:00:00;B;24DEC2008:00:00:00;40
1628;25DEC2008:00:00:00;B;31DEC9999:00:00:00;60
1629;01JAN1996:00:00:00;B;24DEC2008:00:00:00;25
1629;25DEC2008:00:00:00;B;12APR2014:00:00:00;25
1629;13APR2014:00:00:00;B;31DEC9999:00:00:00;20
1630;01JAN1996:00:00:00;B;24DEC2008:00:00:00;300
1630;25DEC2008:00:00:00;B;31DEC9999:00:00:00;350
1632;11DEC2005:00:00:00;B;31DEC9999:00:00:00;100
1633;11DEC2005:00:00:00;B;31DEC9999:00:00:00;35
1634;11DEC2005:00:00:00;B;31DEC9999:00:00:00;70
1635;11DEC2005:00:00:00;B;31DEC9999:00:00:00;50
1649;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70
1650;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1651;01JAN1996:00:00:00;B;31DEC9999:00:00:00;120
1652;01JAN1996:00:00:00;B;31DEC9999:00:00:00;80
1653;01JAN1996:00:00:00;B;31DEC9999:00:00:00;120
1655;01JAN1996:00:00:00;B;31DEC9999:00:00:00;80
1656;01JAN1996:00:00:00;B;31DEC9999:00:00:00;120
1657;27MAR1997:00:00:00;B;31DEC9999:00:00:00;140
1658;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1659;27MAR1997:00:00:00;B;07FEB2009:00:00:00;120
1659;08FEB2009:00:00:00;B;30JAN2012:00:00:00;110
1659;31JAN2012:00:00:00;B;31DEC9999:00:00:00;95
1660;01JAN1996:00:00:00;B;31DEC9999:00:00:00;50
1661;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1662;27MAR1997:00:00:00;B;30JAN2012:00:00:00;120
1662;31JAN2012:00:00:00;B;31DEC9999:00:00:00;100
1663;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70
1664;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120
1665;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120
1666;27MAR1997:00:00:00;B;31DEC9999:00:00:00;190
1667;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70
1668;01JAN1996:00:00:00;B;31DEC9999:00:00:00;120
1669;01JAN1996:00:00:00;B;31DEC9999:00:00:00;120
1670;01JAN1996:00:00:00;B;31DEC9999:00:00:00;140
1671;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120
1672;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70
1673;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120
1674;27MAR1997:00:00:00;B;31DEC9999:00:00:00;190
1675;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1676;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1677;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1678;01JAN1996:00:00:00;B;31DEC9999:00:00:00;120
1679;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60
1680;01JAN1996:00:00:00;B;31DEC9999:00:00:00;35
1681;01JAN1996:00:00:00;B;25DEC2008:00:00:00;120
1682;25DEC2008:00:00:00;B;31DEC9999:00:00:00;120
4075;05APR1996:00:00:00;B;31DEC9999:00:00:00;700
4076;05APR1996:00:00:00;B;31DEC9999:00:00:00;400
4077;05APR1996:00:00:00;B;31DEC9999:00:00:00;600
4080;05APR1996:00:00:00;B;31DEC9999:00:00:00;500
4081;05APR1996:00:00:00;B;31DEC9999:00:00:00;700
4082;05APR1996:00:00:00;B;31DEC9999:00:00:00;500
4083;05APR1996:00:00:00;B;31DEC9999:00:00:00;700
4084;15MAR2011:00:00:00;B;16JAN2019:00:00:00;500
4085;13JUL2017:00:00:00;B;31DEC9999:00:00:00;260
4086;13JUL2017:00:00:00;B;31DEC9999:00:00:00;260
4095;05APR1996:00:00:00;B;31DEC9999:00:00:00;1500
4096;05APR1996:00:00:00;B;31DEC9999:00:00:00;1500
4097;05APR1996:00:00:00;B;31DEC9999:00:00:00;500
4101;30JUL1997:00:00:00;B;31DEC9999:00:00:00;150
4102;30JUL1997:00:00:00;B;31DEC9999:00:00:00;250
4103;13JUL2017:00:00:00;B;31DEC9999:00:00:00;150
4104;13JUL2017:00:00:00;B;31DEC9999:00:00:00;75
4117;31JAN2005:00:00:00;B;31DEC9999:00:00:00;120
4118;31JAN2005:00:00:00;B;01FEB2019:00:00:00;180
4119;31JAN2005:00:00:00;B;13APR2018:00:00:00;220
4120;30MAR1997:00:00:00;B;31JAN2019:00:00:00;150
4122;04JUL2006:00:00:00;B;31MAR2017:00:00:00;220
4122;01APR2017:00:00:00;B;13APR2018:00:00:00;200
4123;04JUL2006:00:00:00;B;13APR2018:00:00:00;180
4124;04JUL2006:00:00:00;B;31MAR2017:00:00:00;220
4124;01APR2017:00:00:00;B;13APR2018:00:00:00;200
4125;04JUL2006:00:00:00;B;31JAN2019:00:00:00;350
4126;14MAR2001:00:00:00;B;01FEB2019:00:00:00;200
4127;01APR2004:00:00:00;B;07FEB2009:00:00:00;180
4127;08FEB2009:00:00:00;B;18OCT2009:00:00:00;140
4127;19OCT2009:00:00:00;B;31MAR2017:00:00:00;140
