GHS_GRP_TYP;GHS_NUM;GHS_NUM_SEC;GHS_LIB;GHS_CRE_DTE;GHS_FER_DTE;GHS_NAT_ASS;GHS_AGE_MIN;GHS_AGE_MAX;GHS_SEX;GHS_CMD;GHS_ARR_DTE;GHS_PJO_DTE;GHS_MAJ_DTE;GHS_DDP_MCO;GHS_EO1_DTE;GHS_DUR_SJ1;GHS_SEU_HT1;GHS_SEU_BA1;GHS_PRU_OC1;GHS_EXH_OC1;GHS_PRU_EX1;GHS_COE_OC1;GHS_COF_OC1;GHS_F01_OC1;GHS_F02_OC1;GHS_F03_OC1;GHS_F04_OC1;GHS_F05_OC1;GHS_F06_OC1;GHS_F07_OC1;GHS_F08_OC1;GHS_F09_OC1;GHS_F10_OC1;GHS_MAJ_OC1;GHS_EO2_DTE;GHS_DUR_SJ2;GHS_SEU_HT2;GHS_SEU_BA2;GHS_PRU_OC2;GHS_EXH_OC2;GHS_PRU_EX2;GHS_COE_OC2;GHS_COF_OC2;GHS_F01_OC2;GHS_F02_OC2;GHS_F03_OC2;GHS_F04_OC2;GHS_F05_OC2;GHS_F06_OC2;GHS_F07_OC2;GHS_F08_OC2;GHS_F09_OC2;GHS_F10_OC2;GHS_MAJ_OC2;GHS_EO3_DTE;GHS_DUR_SJ3;GHS_SEU_HT3;GHS_SEU_BA3;GHS_PRU_OC3;GHS_EXH_OC3;GHS_PRU_EX3;GHS_COE_OC3;GHS_COF_OC3;GHS_F01_OC3;GHS_F02_OC3;GHS_F03_OC3;GHS_F04_OC3;GHS_F05_OC3;GHS_F06_OC3;GHS_F07_OC3;GHS_F08_OC3;GHS_F09_OC3;GHS_F10_OC3;GHS_MAJ_OC3;TEC_COL
T;25;1;GHT25;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;45184.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;44870.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;44558.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;25;2;GHT25;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;44992.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;43227.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;43138.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;26;1;GHT26;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;46849.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;46523.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;46200.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;26;2;GHT26;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;46635.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;44805.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;44713.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;27;1;GHT27;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;48482.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;48145.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;47810.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;27;2;GHT27;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;48281.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;46387.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;46292.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;28;1;GHT28;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;50125.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;49777.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;49431.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;28;2;GHT28;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;49927.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;47968.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;47869.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;29;1;GHT29;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;51780.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;51420.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;51063.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;29;2;GHT29;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;51572.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;49549.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;49447.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;30;1;GHT30;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;53433.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;53062.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;52693.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;30;2;GHT30;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;53217.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;51129.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;51024.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;31;1;GHT31;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;55079.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;54696.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;54316.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;31;2;GHT31;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;54860.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;52708.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;52600.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
