"nom_table";"TEC_COL";"AMA_AGE_COD";"AMA_NRS_TOP";"AMA_AGE_LIB";"CPT_COP_NUM"
"IR_AMA_V";0;95;0;"95 ans";NA
"IR_AMA_V";0;96;0;"96 ans";NA
"IR_AMA_V";0;97;0;"97 ans";NA
"IR_AMA_V";0;98;0;"98 ans";NA
"IR_AMA_V";0;99;0;"99 ans";NA
"IR_AMA_V";0;100;0;"100 ans";NA
"IR_AMA_V";0;101;0;"101 ans";NA
"IR_AMA_V";0;102;0;"102 ans";NA
"IR_AMA_V";0;103;0;"103 ans";NA
"IR_AMA_V";0;104;0;"104 ans";NA
"IR_AMA_V";0;105;0;"105 ans";NA
"IR_AMA_V";0;106;0;"106 ans";NA
"IR_AMA_V";0;107;0;"107 ans";NA
"IR_AMA_V";0;108;0;"108 ans";NA
"IR_AMA_V";0;109;0;"109 ans";NA
"IR_AMA_V";0;110;0;"110 ans";NA
"IR_AMA_V";0;111;0;"111 ans";NA
"IR_AMA_V";0;112;0;"112 ans";NA
"IR_AMA_V";0;113;0;"113 ans";NA
"IR_AMA_V";0;114;0;"114 ans";NA
"IR_AMA_V";0;115;0;"115 ans";NA
"IR_AMA_V";0;116;0;"116 ans";NA
"IR_AMA_V";0;117;0;"117 ans";NA
"IR_AMA_V";0;118;0;"118 ans";NA
"IR_AMA_V";0;119;0;"119 ans";NA
"IR_AMA_V";0;120;0;"120 ans";NA
"IR_AMA_V";0;121;0;"121 ans";NA
"IR_AMA_V";0;122;0;"122 ans";NA
"IR_AMA_V";0;123;0;"123 ans";NA
"IR_AMA_V";0;124;0;"124 ans";NA
"IR_AMA_V";0;125;0;"125 ans";NA
"IR_AMA_V";0;126;0;"126 ans";NA
"IR_AMA_V";0;127;0;"127 ans";NA
"IR_AMA_V";0;128;0;"128 ans";NA
"IR_AMA_V";0;129;0;"129 ans";NA
"IR_AMA_V";0;130;0;"130 ans";NA
"IR_AMA_V";1;9999;1;"Valeur inconnue";NA
"IR_AMA_V";2;0;2;"Par défaut";NA
