"nom_table";"TEC_COL";"ORG_CAI_NUM";"ORG_CAI_LIB";"ORG_BSE_NUM";"PIV_CAI_TOP";"ORG_CAI_TYP";"CPT_COP_NUM"
"IR_CAI_V";0;202;"MOA A COMPLETER";"93C202";0;"SM";NA
"IR_CAI_V";0;211;"MOA A COMPLETER";"93C211";0;"SM";NA
"IR_CAI_V";0;221;"MOA A COMPLETER";"93C221";0;"SM";NA
"IR_CAI_V";0;231;"MOA A COMPLETER";"93C231";0;"SM";NA
"IR_CAI_V";0;241;"MOA A COMPLETER";"93C241";0;"SM";NA
"IR_CAI_V";0;251;"MOA A COMPLETER";"93C251";0;"SM";NA
"IR_CAI_V";0;252;"MOA A COMPLETER";"93C252";0;"SM";NA
"IR_CAI_V";0;261;"MOA A COMPLETER";"93C261";0;"SM";NA
"IR_CAI_V";0;271;"MOA A COMPLETER";"93C271";0;"SM";NA
"IR_CAI_V";0;281;"MOA A COMPLETER";"93C281";0;"SM";NA
"IR_CAI_V";0;291;"MOA A COMPLETER";"93C291";0;"SM";NA
"IR_CAI_V";0;292;"MOA A COMPLETER";"93C292";0;"SM";NA
"IR_CAI_V";0;301;"MOA A COMPLETER";"93C301";0;"SM";NA
"IR_CAI_V";0;311;"MOA A COMPLETER";"93C311";0;"SM";NA
"IR_CAI_V";0;321;"MOA A COMPLETER";"93C321";0;"SM";NA
"IR_CAI_V";0;331;"MOA A COMPLETER";"93C331";0;"SM";NA
"IR_CAI_V";0;341;"MOA A COMPLETER";"93C341";0;"SM";NA
"IR_CAI_V";0;342;"MOA A COMPLETER";"93C342";0;"SM";NA
"IR_CAI_V";0;351;"MOA A COMPLETER";"93C351";0;"SM";NA
"IR_CAI_V";0;361;"MOA A COMPLETER";"93C361";0;"SM";NA
"IR_CAI_V";0;371;"MOA A COMPLETER";"93C371";0;"SM";NA
"IR_CAI_V";0;381;"MOA A COMPLETER";"93C381";0;"SM";NA
"IR_CAI_V";0;382;"MOA A COMPLETER";"93C382";0;"SM";NA
"IR_CAI_V";0;391;"MOA A COMPLETER";"93C391";0;"SM";NA
"IR_CAI_V";0;401;"MOA A COMPLETER";"93C401";0;"SM";NA
"IR_CAI_V";0;411;"MOA A COMPLETER";"93C411";0;"SM";NA
"IR_CAI_V";0;421;"MOA A COMPLETER";"93C421";0;"SM";NA
"IR_CAI_V";0;422;"MOA A COMPLETER";"93C422";0;"SM";NA
"IR_CAI_V";0;431;"MOA A COMPLETER";"93C431";0;"SM";NA
"IR_CAI_V";0;441;"MOA A COMPLETER";"93C441";0;"SM";NA
"IR_CAI_V";0;442;"MOA A COMPLETER";"93C442";0;"SM";NA
"IR_CAI_V";0;451;"MOA A COMPLETER";"93C451";0;"SM";NA
"IR_CAI_V";0;461;"MOA A COMPLETER";"93C461";0;"SM";NA
"IR_CAI_V";0;471;"MOA A COMPLETER";"93C471";0;"SM";NA
"IR_CAI_V";0;481;"MOA A COMPLETER";"93C481";0;"SM";NA
"IR_CAI_V";0;491;"MOA A COMPLETER";"93C491";0;"SM";NA
"IR_CAI_V";0;492;"MOA A COMPLETER";"93C492";0;"SM";NA
"IR_CAI_V";0;501;"MOA A COMPLETER";"93C501";0;"SM";NA
"IR_CAI_V";0;511;"MOA A COMPLETER";"93C511";0;"SM";NA
"IR_CAI_V";0;521;"MOA A COMPLETER";"93C521";0;"SM";NA
"IR_CAI_V";0;531;"MOA A COMPLETER";"93C531";0;"SM";NA
"IR_CAI_V";0;536;"MOA A COMPLETER";"93C536";0;"SM";NA
"IR_CAI_V";0;537;"MOA A COMPLETER";"93C537";0;"SM";NA
"IR_CAI_V";0;541;"MOA A COMPLETER";"93C541";0;"SM";NA
"IR_CAI_V";0;542;"MOA A COMPLETER";"93C542";0;"SM";NA
"IR_CAI_V";0;551;"MOA A COMPLETER";"93C551";0;"SM";NA
"IR_CAI_V";0;561;"MOA A COMPLETER";"93C561";0;"SM";NA
"IR_CAI_V";0;571;"MOA A COMPLETER";"93C571";0;"SM";NA
"IR_CAI_V";0;572;"MOA A COMPLETER";"93C572";0;"SM";NA
"IR_CAI_V";0;573;"MOA A COMPLETER";"93C573";0;"SM";NA
"IR_CAI_V";0;581;"MOA A COMPLETER";"93C581";0;"SM";NA
"IR_CAI_V";0;591;"MOA A COMPLETER";"93C591";0;"SM";NA
"IR_CAI_V";0;592;"MOA A COMPLETER";"93C592";0;"SM";NA
"IR_CAI_V";0;593;"MOA A COMPLETER";"93C593";0;"SM";NA
"IR_CAI_V";0;594;"MOA A COMPLETER";"93C594";0;"SM";NA
"IR_CAI_V";0;595;"MOA A COMPLETER";"93C595";0;"SM";NA
"IR_CAI_V";0;596;"MOA A COMPLETER";"93C596";0;"SM";NA
"IR_CAI_V";0;597;"MOA A COMPLETER";"93C597";0;"SM";NA
"IR_CAI_V";0;598;"MOA A COMPLETER";"93C598";0;"SM";NA
"IR_CAI_V";0;599;"MOA A COMPLETER";"93C599";0;"SM";NA
"IR_CAI_V";0;601;"MOA A COMPLETER";"93C601";0;"SM";NA
"IR_CAI_V";0;602;"MOA A COMPLETER";"93C602";0;"SM";NA
"IR_CAI_V";0;611;"MOA A COMPLETER";"93C611";0;"SM";NA
"IR_CAI_V";0;621;"MOA A COMPLETER";"93C621";0;"SM";NA
"IR_CAI_V";0;622;"MOA A COMPLETER";"93C622";0;"SM";NA
"IR_CAI_V";0;623;"MOA A COMPLETER";"93C623";0;"SM";NA
"IR_CAI_V";0;624;"MOA A COMPLETER";"93C624";0;"SM";NA
"IR_CAI_V";0;631;"MOA A COMPLETER";"93C631";0;"SM";NA
"IR_CAI_V";0;641;"MOA A COMPLETER";"93C641";0;"SM";NA
"IR_CAI_V";0;642;"MOA A COMPLETER";"93C642";0;"SM";NA
"IR_CAI_V";0;651;"MOA A COMPLETER";"93C651";0;"SM";NA
"IR_CAI_V";0;661;"MOA A COMPLETER";"93C661";0;"SM";NA
"IR_CAI_V";0;671;"MOA A COMPLETER";"93C671";0;"SM";NA
"IR_CAI_V";0;672;"MOA A COMPLETER";"93C672";0;"SM";NA
"IR_CAI_V";0;673;"MOA A COMPLETER";"93C673";0;"SM";NA
"IR_CAI_V";0;681;"MOA A COMPLETER";"93C681";0;"SM";NA
"IR_CAI_V";0;682;"MOA A COMPLETER";"93C682";0;"SM";NA
"IR_CAI_V";0;691;"MOA A COMPLETER";"93C691";0;"SM";NA
"IR_CAI_V";0;692;"MOA A COMPLETER";"93C692";0;"SM";NA
"IR_CAI_V";0;701;"MOA A COMPLETER";"93C701";0;"SM";NA
"IR_CAI_V";0;711;"MOA A COMPLETER";"93C711";0;"SM";NA
"IR_CAI_V";0;721;"MOA A COMPLETER";"93C721";0;"SM";NA
"IR_CAI_V";0;731;"MOA A COMPLETER";"93C731";0;"SM";NA
"IR_CAI_V";0;741;"MOA A COMPLETER";"93C741";0;"SM";NA
"IR_CAI_V";0;751;"MOA A COMPLETER";"93C751";0;"SM";NA
"IR_CAI_V";0;752;"MOA A COMPLETER";"93C752";0;"SM";NA
"IR_CAI_V";0;759;"MOA A COMPLETER";"93C759";0;"SM";NA
"IR_CAI_V";0;761;"MOA A COMPLETER";"93C761";0;"SM";NA
"IR_CAI_V";0;762;"MOA A COMPLETER";"93C762";0;"SM";NA
"IR_CAI_V";0;763;"MOA A COMPLETER";"93C763";0;"SM";NA
"IR_CAI_V";0;764;"MOA A COMPLETER";"93C764";0;"SM";NA
"IR_CAI_V";0;770;"MOA A COMPLETER";"93C770";0;"SM";NA
"IR_CAI_V";0;771;"MOA A COMPLETER";"93C771";0;"SM";NA
"IR_CAI_V";0;781;"MOA A COMPLETER";"93C781";0;"SM";NA
