"nom_table";"TEC_COL";"CPT_COP_NUM";"TYT_COD";"EMT_NUM";"EMT_NUM_LIB"
"IR_NEM_V";0;NA;2;195;"MSA 195"
"IR_NEM_V";0;NA;2;197;"MSA 197"
"IR_NEM_V";0;NA;2;450;"MSA 450"
"IR_NEM_V";0;NA;12;100;"CCIP"
"IR_NEM_V";0;NA;14;100;"ASSEMBLEE NATIONALE"
"IR_NEM_V";0;NA;15;751;"SENAT"
"IR_NEM_V";0;NA;16;331;"PORT AUTONOME DE BORDEAUX"
"IR_NEM_V";0;NA;1;10;"STRASBOURG 2"
"IR_NEM_V";0;NA;1;11;"ROUEN 2"
"IR_NEM_V";0;NA;1;13;"STRASBOURG 3"
"IR_NEM_V";0;NA;1;16;"ST ETIENNE 1"
"IR_NEM_V";0;NA;1;17;"STRASBOURG 1"
"IR_NEM_V";0;NA;1;18;"ANGERS 2"
"IR_NEM_V";0;NA;1;19;"LILLE"
"IR_NEM_V";0;NA;1;1;"ROUEN 1"
"IR_NEM_V";0;NA;1;20;"CNQD"
"IR_NEM_V";0;NA;1;21;"NICE"
"IR_NEM_V";0;NA;1;23;"ANGERS 1"
"IR_NEM_V";0;NA;1;25;"ST ETIENNE 2"
"IR_NEM_V";0;NA;1;26;"TOULOUSE 5"
"IR_NEM_V";0;NA;1;27;"TOULOUSE 4"
"IR_NEM_V";0;NA;1;28;"MAYOTTE"
"IR_NEM_V";0;NA;1;2;"TOULOUSE 1"
"IR_NEM_V";0;NA;1;36;"MONTIGNY"
"IR_NEM_V";0;NA;1;3;"SLM"
"IR_NEM_V";0;NA;1;4;"MELUN"
"IR_NEM_V";0;NA;1;5;"TOULOUSE 3"
"IR_NEM_V";0;NA;1;6;"TOULOUSE 2"
"IR_NEM_V";0;NA;1;8;"LIMOGES"
"IR_NEM_V";0;NA;3;1;"RSI 001"
"IR_NEM_V";0;NA;3;2;"RSI 002"
"IR_NEM_V";0;NA;3;3;"RSI 003"
"IR_NEM_V";0;NA;3;4;"RSI 004"
"IR_NEM_V";0;NA;3;101;"RSI 101"
"IR_NEM_V";0;NA;21;204;"APRIA-AMEXA 204"
