BTF_PRS_IDE__BTF_HIS_DTD;BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
1461__01JAN1996:00:00:00;1461;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1462__01JAN1996:00:00:00;1462;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1463__01JAN1996:00:00:00;1463;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1464__01JAN1996:00:00:00;1464;01JAN1996:00:00:00;B;25DEC2008:00:00:00;40
1465__01JAN1996:00:00:00;1465;01JAN1996:00:00:00;B;31DEC9999:00:00:00;80
1466__01JAN1996:00:00:00;1466;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1467__01JAN1996:00:00:00;1467;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1468__01JAN1996:00:00:00;1468;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1469__01JAN1996:00:00:00;1469;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1470__01JAN1996:00:00:00;1470;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1471__01JAN1996:00:00:00;1471;01JAN1996:00:00:00;B;31DEC9999:00:00:00;180
1472__01JAN1996:00:00:00;1472;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1473__01JAN1996:00:00:00;1473;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1474__01JAN1996:00:00:00;1474;01JAN1996:00:00:00;B;25DEC2008:00:00:00;40
1475__01JAN1996:00:00:00;1475;01JAN1996:00:00:00;B;25DEC2008:00:00:00;40
1476__01JAN1996:00:00:00;1476;01JAN1996:00:00:00;B;25DEC2008:00:00:00;70
1477__01JAN1996:00:00:00;1477;01JAN1996:00:00:00;B;25DEC2008:00:00:00;70
1478__01JAN1996:00:00:00;1478;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
1479__01JAN1996:00:00:00;1479;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
1480__01JAN1996:00:00:00;1480;01JAN1996:00:00:00;B;31DEC9999:00:00:00;180
1481__28JAN2004:00:00:00;1481;28JAN2004:00:00:00;B;31DEC9999:00:00:00;40
1482__28JAN2004:00:00:00;1482;28JAN2004:00:00:00;B;31DEC9999:00:00:00;150
1483__01JAN1996:00:00:00;1483;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1484__11NOV2007:00:00:00;1484;11NOV2007:00:00:00;B;13APR2018:00:00:00;65
1485__01JAN1996:00:00:00;1485;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1486__01JAN1996:00:00:00;1486;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1487__11NOV2007:00:00:00;1487;11NOV2007:00:00:00;B;31MAR2017:00:00:00;65
1487__01APR2017:00:00:00;1487;01APR2017:00:00:00;B;13APR2018:00:00:00;64
1488__11NOV2007:00:00:00;1488;11NOV2007:00:00:00;B;07FEB2009:00:00:00;130
1488__08FEB2009:00:00:00;1488;08FEB2009:00:00:00;B;12APR2014:00:00:00;120
1488__13APR2014:00:00:00;1488;13APR2014:00:00:00;B;31MAR2017:00:00:00;115
1488__01APR2017:00:00:00;1488;01APR2017:00:00:00;B;13APR2018:00:00:00;100
1489__01JAN1996:00:00:00;1489;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1490__01JAN1996:00:00:00;1490;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1491__01JAN1996:00:00:00;1491;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1492__01JAN1996:00:00:00;1492;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
1493__01JAN1996:00:00:00;1493;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1494__01JAN1996:00:00:00;1494;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1495__01JAN1996:00:00:00;1495;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1496__01JAN1996:00:00:00;1496;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1497__01JAN1996:00:00:00;1497;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1498__01DEC1998:00:00:00;1498;01DEC1998:00:00:00;B;31DEC9999:00:00:00;40
1683__25DEC2008:00:00:00;1683;25DEC2008:00:00:00;B;31DEC9999:00:00:00;170
1690__12JUL1999:00:00:00;1690;12JUL1999:00:00:00;B;31DEC9999:00:00:00;300
1691__15MAR2011:00:00:00;1691;15MAR2011:00:00:00;B;31DEC9999:00:00:00;200
1701__01JAN1996:00:00:00;1701;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30
1702__01JAN1996:00:00:00;1702;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1703__01JAN1996:00:00:00;1703;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1704__01JAN1996:00:00:00;1704;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1705__12AUG1997:00:00:00;1705;12AUG1997:00:00:00;B;31DEC9999:00:00:00;50
1706__12OCT1997:00:00:00;1706;12OCT1997:00:00:00;B;04SEP2014:00:00:00;20
1707__12OCT1997:00:00:00;1707;12OCT1997:00:00:00;B;04SEP2014:00:00:00;70
1708__12OCT1997:00:00:00;1708;12OCT1997:00:00:00;B;04SEP2014:00:00:00;70
1709__12OCT1997:00:00:00;1709;12OCT1997:00:00:00;B;03SEP2014:00:00:00;50
1709__04SEP2014:00:00:00;1709;04SEP2014:00:00:00;B;31DEC9999:00:00:00;50
1710__12AUG1997:00:00:00;1710;12AUG1997:00:00:00;B;31DEC9999:00:00:00;40
1711__12AUG1997:00:00:00;1711;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70
1712__12AUG1997:00:00:00;1712;12AUG1997:00:00:00;B;31DEC9999:00:00:00;50
1713__01JAN1996:00:00:00;1713;01JAN1996:00:00:00;B;10FEB2011:00:00:00;120
1713__11FEB2011:00:00:00;1713;11FEB2011:00:00:00;B;12APR2014:00:00:00;90
1713__13APR2014:00:00:00;1713;13APR2014:00:00:00;B;01FEB2019:00:00:00;85
1714__01JAN1996:00:00:00;1714;01JAN1996:00:00:00;B;01FEB2019:00:00:00;70
1715__01JAN1996:00:00:00;1715;01JAN1996:00:00:00;B;19SEP2019:00:00:00;70
1716__01JAN1996:00:00:00;1716;01JAN1996:00:00:00;B;10FEB2011:00:00:00;120
1716__11FEB2011:00:00:00;1716;11FEB2011:00:00:00;B;19SEP2019:00:00:00;100
1717__05AUG1997:00:00:00;1717;05AUG1997:00:00:00;B;19SEP2019:00:00:00;40
1718__11NOV2007:00:00:00;1718;11NOV2007:00:00:00;B;10FEB2011:00:00:00;65
1718__11FEB2011:00:00:00;1718;11FEB2011:00:00:00;B;19SEP2019:00:00:00;55
1719__01JAN1996:00:00:00;1719;01JAN1996:00:00:00;B;19SEP2019:00:00:00;40
1720__01JAN1996:00:00:00;1720;01JAN1996:00:00:00;B;13JUL2017:00:00:00;150
1721__01JAN1996:00:00:00;1721;01JAN1996:00:00:00;B;13JUL2017:00:00:00;40
1729__01JAN1996:00:00:00;1729;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30
1730__01JAN1996:00:00:00;1730;01JAN1996:00:00:00;B;10FEB2011:00:00:00;70
1730__11FEB2011:00:00:00;1730;11FEB2011:00:00:00;B;31DEC9999:00:00:00;60
1731__01JAN1996:00:00:00;1731;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1732__01JAN1996:00:00:00;1732;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30
1733__01JAN1996:00:00:00;1733;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1734__01JAN1996:00:00:00;1734;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1735__05AUG1997:00:00:00;1735;05AUG1997:00:00:00;B;31DEC9999:00:00:00;50
1736__12OCT1997:00:00:00;1736;12OCT1997:00:00:00;B;10FEB2011:00:00:00;70
1736__11FEB2011:00:00:00;1736;11FEB2011:00:00:00;B;31MAR2017:00:00:00;60
1736__01APR2017:00:00:00;1736;01APR2017:00:00:00;B;31JAN2019:00:00:00;50
1740__12OCT1997:00:00:00;1740;12OCT1997:00:00:00;B;31JAN2019:00:00:00;70
1741__12OCT1997:00:00:00;1741;12OCT1997:00:00:00;B;01FEB2019:00:00:00;70
1742__12OCT1997:00:00:00;1742;12OCT1997:00:00:00;B;01FEB2019:00:00:00;70
1743__05AUG1997:00:00:00;1743;05AUG1997:00:00:00;B;13APR2018:00:00:00;70
1744__11NOV2007:00:00:00;1744;11NOV2007:00:00:00;B;07FEB2009:00:00:00;65
1744__08FEB2009:00:00:00;1744;08FEB2009:00:00:00;B;30JAN2012:00:00:00;60
1744__31JAN2012:00:00:00;1744;31JAN2012:00:00:00;B;31JAN2019:00:00:00;50
1745__12OCT1997:00:00:00;1745;12OCT1997:00:00:00;B;01FEB2019:00:00:00;40
1746__11NOV2007:00:00:00;1746;11NOV2007:00:00:00;B;07FEB2009:00:00:00;65
1746__08FEB2009:00:00:00;1746;08FEB2009:00:00:00;B;30JAN2012:00:00:00;60
1746__31JAN2012:00:00:00;1746;31JAN2012:00:00:00;B;01FEB2019:00:00:00;50
1747__12OCT1997:00:00:00;1747;12OCT1997:00:00:00;B;01FEB2019:00:00:00;40
1752__01JAN1996:00:00:00;1752;01JAN1996:00:00:00;B;31JAN2019:00:00:00;70
1753__01JAN1996:00:00:00;1753;01JAN1996:00:00:00;B;01FEB2019:00:00:00;40
1754__12OCT1997:00:00:00;1754;12OCT1997:00:00:00;B;31MAR2017:00:00:00;70
1754__01APR2017:00:00:00;1754;01APR2017:00:00:00;B;31DEC9999:00:00:00;65
1755__12AUG1997:00:00:00;1755;12AUG1997:00:00:00;B;31DEC9999:00:00:00;180
1756__12AUG1997:00:00:00;1756;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70
1757__12AUG1997:00:00:00;1757;12AUG1997:00:00:00;B;13APR2018:00:00:00;120
1758__12AUG1997:00:00:00;1758;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70
1759__02AUG1997:00:00:00;1759;02AUG1997:00:00:00;B;31DEC9999:00:00:00;40
1760__01JAN1996:00:00:00;1760;01JAN1996:00:00:00;B;31DEC9999:00:00:00;20
1761__01JAN1996:00:00:00;1761;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30
1762__01JAN1996:00:00:00;1762;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1763__01JAN1996:00:00:00;1763;01JAN1996:00:00:00;B;31MAR2017:00:00:00;120
1763__01APR2017:00:00:00;1763;01APR2017:00:00:00;B;31MAR2019:00:00:00;105
1764__01JAN1996:00:00:00;1764;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1765__01JAN1996:00:00:00;1765;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1766__12AUG1997:00:00:00;1766;12AUG1997:00:00:00;B;31DEC9999:00:00:00;120
1767__12AUG1997:00:00:00;1767;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70
1768__12AUG1997:00:00:00;1768;12AUG1997:00:00:00;B;31DEC9999:00:00:00;120
1769__12AUG1997:00:00:00;1769;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70
1770__01JAN1996:00:00:00;1770;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1771__01JAN1996:00:00:00;1771;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1772__01JAN1996:00:00:00;1772;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1773__30MAR1997:00:00:00;1773;30MAR1997:00:00:00;B;31MAR2017:00:00:00;40
1773__01APR2017:00:00:00;1773;01APR2017:00:00:00;B;13APR2018:00:00:00;38
1777__12AUG1997:00:00:00;1777;12AUG1997:00:00:00;B;07FEB2009:00:00:00;120
1777__08FEB2009:00:00:00;1777;08FEB2009:00:00:00;B;13APR2018:00:00:00;100
1778__12AUG1997:00:00:00;1778;12AUG1997:00:00:00;B;01FEB2019:00:00:00;70
1779__01JAN1996:00:00:00;1779;01JAN1996:00:00:00;B;13APR2018:00:00:00;70
1780__01JAN1996:00:00:00;1780;01JAN1996:00:00:00;B;01FEB2019:00:00:00;40
1785__05AUG1997:00:00:00;1785;05AUG1997:00:00:00;B;10FEB2011:00:00:00;70
1785__11FEB2011:00:00:00;1785;11FEB2011:00:00:00;B;31JAN2019:00:00:00;60
1786__05AUG1997:00:00:00;1786;05AUG1997:00:00:00;B;01FEB2019:00:00:00;40
1800__28JAN2004:00:00:00;1800;28JAN2004:00:00:00;B;31DEC9999:00:00:00;120
1801__28JAN2004:00:00:00;1801;28JAN2004:00:00:00;B;10FEB2011:00:00:00;80
1801__11FEB2011:00:00:00;1801;11FEB2011:00:00:00;B;16APR2013:00:00:00;58
1801__17APR2013:00:00:00;1801;17APR2013:00:00:00;B;31DEC9999:00:00:00;51
1802__28JAN2004:00:00:00;1802;28JAN2004:00:00:00;B;07FEB2009:00:00:00;70
1802__08FEB2009:00:00:00;1802;08FEB2009:00:00:00;B;12APR2014:00:00:00;65
1802__13APR2014:00:00:00;1802;13APR2014:00:00:00;B;31DEC9999:00:00:00;60
1803__28JAN2004:00:00:00;1803;28JAN2004:00:00:00;B;07FEB2009:00:00:00;165
1803__08FEB2009:00:00:00;1803;08FEB2009:00:00:00;B;31DEC9999:00:00:00;150
1804__04JUL2006:00:00:00;1804;04JUL2006:00:00:00;B;07FEB2009:00:00:00;30
1804__08FEB2009:00:00:00;1804;08FEB2009:00:00:00;B;18JAN2010:00:00:00;25
1804__19JAN2010:00:00:00;1804;19JAN2010:00:00:00;B;10FEB2011:00:00:00;21
1804__11FEB2011:00:00:00;1804;11FEB2011:00:00:00;B;30JAN2012:00:00:00;20
1804__31JAN2012:00:00:00;1804;31JAN2012:00:00:00;B;16APR2013:00:00:00;15
1804__17APR2013:00:00:00;1804;17APR2013:00:00:00;B;12APR2014:00:00:00;12
1804__13APR2014:00:00:00;1804;13APR2014:00:00:00;B;19APR2016:00:00:00;10
1804__20APR2016:00:00:00;1804;20APR2016:00:00:00;B;31MAR2019:00:00:00;9
1805__28JAN2004:00:00:00;1805;28JAN2004:00:00:00;B;18JAN2010:00:00:00;35
1805__19JAN2010:00:00:00;1805;19JAN2010:00:00:00;B;10FEB2011:00:00:00;32
1805__11FEB2011:00:00:00;1805;11FEB2011:00:00:00;B;17JUN2011:00:00:00;25
1805__18JUN2011:00:00:00;1805;18JUN2011:00:00:00;B;31DEC9999:00:00:00;25
1806__11NOV2007:00:00:00;1806;11NOV2007:00:00:00;B;07FEB2009:00:00:00;30
1806__08FEB2009:00:00:00;1806;08FEB2009:00:00:00;B;18JAN2010:00:00:00;25
1806__19JAN2010:00:00:00;1806;19JAN2010:00:00:00;B;10FEB2011:00:00:00;20
1806__11FEB2011:00:00:00;1806;11FEB2011:00:00:00;B;12APR2014:00:00:00;15
1806__13APR2014:00:00:00;1806;13APR2014:00:00:00;B;19APR2016:00:00:00;10
1806__20APR2016:00:00:00;1806;20APR2016:00:00:00;B;31MAR2017:00:00:00;7
1806__01APR2017:00:00:00;1806;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
1807__28JAN2004:00:00:00;1807;28JAN2004:00:00:00;B;10FEB2011:00:00:00;35
1807__11FEB2011:00:00:00;1807;11FEB2011:00:00:00;B;31DEC9999:00:00:00;30
1808__28JAN2004:00:00:00;1808;28JAN2004:00:00:00;B;10FEB2011:00:00:00;35
1808__11FEB2011:00:00:00;1808;11FEB2011:00:00:00;B;31DEC9999:00:00:00;30
1809__28JAN2004:00:00:00;1809;28JAN2004:00:00:00;B;10FEB2011:00:00:00;35
1809__11FEB2011:00:00:00;1809;11FEB2011:00:00:00;B;31DEC9999:00:00:00;30
1810__28JAN2004:00:00:00;1810;28JAN2004:00:00:00;B;31DEC9999:00:00:00;35
1811__28JAN2004:00:00:00;1811;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1811__08FEB2009:00:00:00;1811;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1811__11FEB2011:00:00:00;1811;11FEB2011:00:00:00;B;31DEC9999:00:00:00;25
1812__28JAN2004:00:00:00;1812;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1812__08FEB2009:00:00:00;1812;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1812__11FEB2011:00:00:00;1812;11FEB2011:00:00:00;B;31DEC9999:00:00:00;25
1813__28JAN2004:00:00:00;1813;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1813__08FEB2009:00:00:00;1813;08FEB2009:00:00:00;B;18JAN2010:00:00:00;30
1813__19JAN2010:00:00:00;1813;19JAN2010:00:00:00;B;10FEB2011:00:00:00;25
1813__11FEB2011:00:00:00;1813;11FEB2011:00:00:00;B;17JUN2011:00:00:00;20
1813__18JUN2011:00:00:00;1813;18JUN2011:00:00:00;B;31DEC9999:00:00:00;20
1814__28JAN2004:00:00:00;1814;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1814__08FEB2009:00:00:00;1814;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1814__11FEB2011:00:00:00;1814;11FEB2011:00:00:00;B;13APR2018:00:00:00;25
1815__28JAN2004:00:00:00;1815;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1815__08FEB2009:00:00:00;1815;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1815__11FEB2011:00:00:00;1815;11FEB2011:00:00:00;B;13APR2018:00:00:00;25
1816__28JAN2004:00:00:00;1816;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1816__08FEB2009:00:00:00;1816;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1816__11FEB2011:00:00:00;1816;11FEB2011:00:00:00;B;13APR2018:00:00:00;25
1817__28JAN2004:00:00:00;1817;28JAN2004:00:00:00;B;07FEB2009:00:00:00;35
1817__08FEB2009:00:00:00;1817;08FEB2009:00:00:00;B;10FEB2011:00:00:00;30
1817__11FEB2011:00:00:00;1817;11FEB2011:00:00:00;B;31MAR2019:00:00:00;20
1818__28JAN2004:00:00:00;1818;28JAN2004:00:00:00;B;31DEC9999:00:00:00;35
1819__11NOV2007:00:00:00;1819;11NOV2007:00:00:00;B;18JAN2010:00:00:00;30
1819__19JAN2010:00:00:00;1819;19JAN2010:00:00:00;B;10FEB2011:00:00:00;25
1819__11FEB2011:00:00:00;1819;11FEB2011:00:00:00;B;30JAN2012:00:00:00;20
1819__31JAN2012:00:00:00;1819;31JAN2012:00:00:00;B;12APR2014:00:00:00;15
1819__13APR2014:00:00:00;1819;13APR2014:00:00:00;B;13JUL2017:00:00:00;14
1820__28JAN2004:00:00:00;1820;28JAN2004:00:00:00;B;07FEB2009:00:00:00;110
1820__08FEB2009:00:00:00;1820;08FEB2009:00:00:00;B;31MAR2017:00:00:00;90
1820__01APR2017:00:00:00;1820;01APR2017:00:00:00;B;31DEC9999:00:00:00;80
1821__11NOV2007:00:00:00;1821;11NOV2007:00:00:00;B;18JAN2010:00:00:00;90
1821__19JAN2010:00:00:00;1821;19JAN2010:00:00:00;B;12APR2014:00:00:00;85
1821__13APR2014:00:00:00;1821;13APR2014:00:00:00;B;19APR2016:00:00:00;84
1821__20APR2016:00:00:00;1821;20APR2016:00:00:00;B;31MAR2017:00:00:00;78
1821__01APR2017:00:00:00;1821;01APR2017:00:00:00;B;13APR2018:00:00:00;75
1822__28JAN2004:00:00:00;1822;28JAN2004:00:00:00;B;12JUL2017:00:00:00;60
1822__13JUL2017:00:00:00;1822;13JUL2017:00:00:00;B;31DEC9999:00:00:00;60
1823__28JAN2004:00:00:00;1823;28JAN2004:00:00:00;B;31DEC9999:00:00:00;80
1824__28JAN2004:00:00:00;1824;28JAN2004:00:00:00;B;18JAN2010:00:00:00;120
1824__19JAN2010:00:00:00;1824;19JAN2010:00:00:00;B;31DEC9999:00:00:00;90
1825__28JAN2004:00:00:00;1825;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100
1826__28JAN2004:00:00:00;1826;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100
1827__25DEC2008:00:00:00;1827;25DEC2008:00:00:00;B;31MAR2019:00:00:00;60
1828__25DEC2008:00:00:00;1828;25DEC2008:00:00:00;B;31MAR2019:00:00:00;60
4__01DEC1998:00:00:00;4;01DEC1998:00:00:00;B;31DEC9999:00:00:00;100
5__01DEC1998:00:00:00;5;01DEC1998:00:00:00;B;31DEC9999:00:00:00;130
6__01DEC1998:00:00:00;6;01DEC1998:00:00:00;B;31DEC9999:00:00:00;120
7__01DEC1998:00:00:00;7;01DEC1998:00:00:00;B;31DEC9999:00:00:00;120
8__01DEC1998:00:00:00;8;01DEC1998:00:00:00;B;31DEC9999:00:00:00;220
12__01DEC1998:00:00:00;12;01DEC1998:00:00:00;B;31DEC9999:00:00:00;300
13__01DEC1998:00:00:00;13;01DEC1998:00:00:00;B;13APR2018:00:00:00;55
14__01DEC1998:00:00:00;14;01DEC1998:00:00:00;B;31DEC9999:00:00:00;100
15__01DEC1998:00:00:00;15;01DEC1998:00:00:00;B;31DEC9999:00:00:00;120
16__01DEC1998:00:00:00;16;01DEC1998:00:00:00;B;31DEC9999:00:00:00;130
17__01DEC1998:00:00:00;17;01DEC1998:00:00:00;B;31DEC9999:00:00:00;200
18__01DEC1998:00:00:00;18;01DEC1998:00:00:00;B;31DEC9999:00:00:00;300
21__03OCT2007:00:00:00;21;03OCT2007:00:00:00;B;31DEC9999:00:00:00;50
22__04OCT2007:00:00:00;22;04OCT2007:00:00:00;B;31DEC9999:00:00:00;100
23__19OCT2009:00:00:00;23;19OCT2009:00:00:00;B;25SEP2010:00:00:00;200
23__26SEP2010:00:00:00;23;26SEP2010:00:00:00;B;31DEC9999:00:00:00;200
24__19OCT2009:00:00:00;24;19OCT2009:00:00:00;B;25SEP2010:00:00:00;135
24__26SEP2010:00:00:00;24;26SEP2010:00:00:00;B;13APR2018:00:00:00;135
25__19OCT2009:00:00:00;25;19OCT2009:00:00:00;B;25SEP2010:00:00:00;500
25__26SEP2010:00:00:00;25;26SEP2010:00:00:00;B;31DEC9999:00:00:00;500
40__30DEC2004:00:00:00;40;30DEC2004:00:00:00;B;26NOV2009:00:00:00;850
40__27NOV2009:00:00:00;40;27NOV2009:00:00:00;B;31DEC9999:00:00:00;850
41__11NOV2007:00:00:00;41;11NOV2007:00:00:00;B;26NOV2009:00:00:00;1250
41__27NOV2009:00:00:00;41;27NOV2009:00:00:00;B;16JAN2019:00:00:00;1250
54__28FEB2002:00:00:00;54;28FEB2002:00:00:00;B;19SEP2019:00:00:00;350
59__28FEB2002:00:00:00;59;28FEB2002:00:00:00;B;31DEC9999:00:00:00;200
60__28FEB2002:00:00:00;60;28FEB2002:00:00:00;B;07FEB2009:00:00:00;1600
60__08FEB2009:00:00:00;60;08FEB2009:00:00:00;B;31DEC9999:00:00:00;1550
61__28FEB2002:00:00:00;61;28FEB2002:00:00:00;B;07FEB2009:00:00:00;2800
61__08FEB2009:00:00:00;61;08FEB2009:00:00:00;B;31MAR2019:00:00:00;2600
62__28FEB2002:00:00:00;62;28FEB2002:00:00:00;B;31DEC9999:00:00:00;500
63__28FEB2002:00:00:00;63;28FEB2002:00:00:00;B;19SEP2019:00:00:00;150
64__28FEB2002:00:00:00;64;28FEB2002:00:00:00;B;18SEP2019:00:00:00;150
65__28FEB2002:00:00:00;65;28FEB2002:00:00:00;B;31DEC9999:00:00:00;350
66__28FEB2002:00:00:00;66;28FEB2002:00:00:00;B;31DEC9999:00:00:00;150
67__28FEB2002:00:00:00;67;28FEB2002:00:00:00;B;31DEC9999:00:00:00;350
68__28FEB2002:00:00:00;68;28FEB2002:00:00:00;B;31DEC9999:00:00:00;150
70__26FEB2000:00:00:00;70;26FEB2000:00:00:00;B;31DEC9999:00:00:00;110
71__30MAR1997:00:00:00;71;30MAR1997:00:00:00;B;31DEC9999:00:00:00;45
72__01JAN1996:00:00:00;72;01JAN1996:00:00:00;B;31DEC9999:00:00:00;175
73__01JAN1996:00:00:00;73;01JAN1996:00:00:00;B;31DEC9999:00:00:00;85
74__01JAN1996:00:00:00;74;01JAN1996:00:00:00;B;31DEC9999:00:00:00;130
75__26FEB2000:00:00:00;75;26FEB2000:00:00:00;B;31DEC9999:00:00:00;120
76__01JAN1996:00:00:00;76;01JAN1996:00:00:00;B;31DEC9999:00:00:00;50
77__01JAN1996:00:00:00;77;01JAN1996:00:00:00;B;31DEC9999:00:00:00;280
78__01JAN1996:00:00:00;78;01JAN1996:00:00:00;B;31DEC9999:00:00:00;120
79__01JAN1996:00:00:00;79;01JAN1996:00:00:00;B;31DEC9999:00:00:00;280
80__01JAN1996:00:00:00;80;01JAN1996:00:00:00;B;31DEC9999:00:00:00;110
81__01JAN1996:00:00:00;81;01JAN1996:00:00:00;B;31DEC9999:00:00:00;50
121__01JAN1996:00:00:00;121;01JAN1996:00:00:00;B;11JUL2013:00:00:00;5
126__29JUL2003:00:00:00;126;29JUL2003:00:00:00;B;17JUN2011:00:00:00;20
126__18JUN2011:00:00:00;126;18JUN2011:00:00:00;B;10JUL2013:00:00:00;20
126__11JUL2013:00:00:00;126;11JUL2013:00:00:00;B;13APR2018:00:00:00;20
127__29JUL2003:00:00:00;127;29JUL2003:00:00:00;B;17JUN2011:00:00:00;20
127__18JUN2011:00:00:00;127;18JUN2011:00:00:00;B;10JUL2013:00:00:00;20
127__11JUL2013:00:00:00;127;11JUL2013:00:00:00;B;31DEC9999:00:00:00;20
128__01JAN1996:00:00:00;128;01JAN1996:00:00:00;B;11JUL2013:00:00:00;15
130__01JAN1996:00:00:00;130;01JAN1996:00:00:00;B;11JUL2013:00:00:00;25
132__01JAN1996:00:00:00;132;01JAN1996:00:00:00;B;11JUL2013:00:00:00;60
160__01JAN1996:00:00:00;160;01JAN1996:00:00:00;B;31DEC9999:00:00:00;200
161__01JAN1996:00:00:00;161;01JAN1996:00:00:00;B;31DEC9999:00:00:00;200
162__01JAN1996:00:00:00;162;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
163__01JAN1996:00:00:00;163;01JAN1996:00:00:00;B;31DEC9999:00:00:00;300
164__01JAN1996:00:00:00;164;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
165__01JAN1996:00:00:00;165;01JAN1996:00:00:00;B;31DEC9999:00:00:00;300
171__01JAN1996:00:00:00;171;01JAN1996:00:00:00;B;11JUL2013:00:00:00;20
173__01JAN1996:00:00:00;173;01JAN1996:00:00:00;B;10JUL2013:00:00:00;30
173__11JUL2013:00:00:00;173;11JUL2013:00:00:00;B;31DEC9999:00:00:00;50
174__01JAN1996:00:00:00;174;01JAN1996:00:00:00;B;10JUL2013:00:00:00;20
174__11JUL2013:00:00:00;174;11JUL2013:00:00:00;B;12APR2014:00:00:00;20
174__13APR2014:00:00:00;174;13APR2014:00:00:00;B;13APR2018:00:00:00;18
175__01JAN1996:00:00:00;175;01JAN1996:00:00:00;B;10JUL2013:00:00:00;30
175__11JUL2013:00:00:00;175;11JUL2013:00:00:00;B;31DEC9999:00:00:00;30
176__01JAN1996:00:00:00;176;01JAN1996:00:00:00;B;11JUL2013:00:00:00;30
177__01JAN1996:00:00:00;177;01JAN1996:00:00:00;B;11JUL2013:00:00:00;30
178__01JAN1996:00:00:00;178;01JAN1996:00:00:00;B;10JUL2013:00:00:00;40
178__11JUL2013:00:00:00;178;11JUL2013:00:00:00;B;31DEC9999:00:00:00;50
179__01JAN1996:00:00:00;179;01JAN1996:00:00:00;B;10JUL2013:00:00:00;40
179__11JUL2013:00:00:00;179;11JUL2013:00:00:00;B;31DEC9999:00:00:00;50
180__01JAN1996:00:00:00;180;01JAN1996:00:00:00;B;10JUL2013:00:00:00;50
