BTF_PRS_IDE__BTF_HIS_DTD;BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
629__31JAN2012:00:00:00;629;31JAN2012:00:00:00;B;31MAR2017:00:00:00;7
629__01APR2017:00:00:00;629;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
630__11DEC2005:00:00:00;630;11DEC2005:00:00:00;B;10FEB2011:00:00:00;10
630__11FEB2011:00:00:00;630;11FEB2011:00:00:00;B;31DEC9999:00:00:00;7
631__11DEC2005:00:00:00;631;11DEC2005:00:00:00;B;31DEC9999:00:00:00;5
635__11DEC2005:00:00:00;635;11DEC2005:00:00:00;B;18JAN2010:00:00:00;70
635__19JAN2010:00:00:00;635;19JAN2010:00:00:00;B;10FEB2011:00:00:00;60
635__11FEB2011:00:00:00;635;11FEB2011:00:00:00;B;31DEC9999:00:00:00;55
637__11DEC2005:00:00:00;637;11DEC2005:00:00:00;B;31DEC9999:00:00:00;5
638__11DEC2005:00:00:00;638;11DEC2005:00:00:00;B;31DEC9999:00:00:00;70
640__11DEC2005:00:00:00;640;11DEC2005:00:00:00;B;16APR2013:00:00:00;10
640__17APR2013:00:00:00;640;17APR2013:00:00:00;B;31MAR2019:00:00:00;7
647__11DEC2005:00:00:00;647;11DEC2005:00:00:00;B;31DEC9999:00:00:00;5
657__27MAR1997:00:00:00;657;27MAR1997:00:00:00;B;31DEC9999:00:00:00;140
659__27MAR1997:00:00:00;659;27MAR1997:00:00:00;B;07FEB2009:00:00:00;120
659__08FEB2009:00:00:00;659;08FEB2009:00:00:00;B;30JAN2012:00:00:00;110
659__31JAN2012:00:00:00;659;31JAN2012:00:00:00;B;12APR2014:00:00:00;95
659__13APR2014:00:00:00;659;13APR2014:00:00:00;B;31DEC9999:00:00:00;90
662__27MAR1997:00:00:00;662;27MAR1997:00:00:00;B;30JAN2012:00:00:00;120
662__31JAN2012:00:00:00;662;31JAN2012:00:00:00;B;31DEC9999:00:00:00;100
663__27MAR1997:00:00:00;663;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70
664__27MAR1997:00:00:00;664;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120
665__27MAR1997:00:00:00;665;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120
666__01JAN1996:00:00:00;666;01JAN1996:00:00:00;B;24DEC2008:00:00:00;50
666__25DEC2008:00:00:00;666;25DEC2008:00:00:00;B;31DEC9999:00:00:00;90
667__27MAR1997:00:00:00;667;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70
668__27MAR1997:00:00:00;668;27MAR1997:00:00:00;B;31DEC9999:00:00:00;190
671__27MAR1997:00:00:00;671;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120
672__27MAR1997:00:00:00;672;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70
673__27MAR1997:00:00:00;673;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120
674__27MAR1997:00:00:00;674;27MAR1997:00:00:00;B;31DEC9999:00:00:00;190
679__27MAR1997:00:00:00;679;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60
691__11DEC2005:00:00:00;691;11DEC2005:00:00:00;B;16APR2013:00:00:00;10
691__17APR2013:00:00:00;691;17APR2013:00:00:00;B;31DEC9999:00:00:00;9
693__11DEC2005:00:00:00;693;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
701__28JAN2004:00:00:00;701;28JAN2004:00:00:00;B;07FEB2009:00:00:00;120
701__08FEB2009:00:00:00;701;08FEB2009:00:00:00;B;18JAN2010:00:00:00;100
701__19JAN2010:00:00:00;701;19JAN2010:00:00:00;B;10FEB2011:00:00:00;90
701__11FEB2011:00:00:00;701;11FEB2011:00:00:00;B;31MAR2017:00:00:00;85
701__01APR2017:00:00:00;701;01APR2017:00:00:00;B;31DEC9999:00:00:00;80
703__28JAN2004:00:00:00;703;28JAN2004:00:00:00;B;31DEC9999:00:00:00;110
714__28JAN2004:00:00:00;714;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
714__08FEB2009:00:00:00;714;08FEB2009:00:00:00;B;18JAN2010:00:00:00;90
714__19JAN2010:00:00:00;714;19JAN2010:00:00:00;B;19APR2016:00:00:00;80
714__20APR2016:00:00:00;714;20APR2016:00:00:00;B;31DEC9999:00:00:00;78
727__28JAN2004:00:00:00;727;28JAN2004:00:00:00;B;10FEB2011:00:00:00;80
727__11FEB2011:00:00:00;727;11FEB2011:00:00:00;B;31DEC9999:00:00:00;70
745__28JAN2004:00:00:00;745;28JAN2004:00:00:00;B;31DEC9999:00:00:00;120
756__28JAN2004:00:00:00;756;28JAN2004:00:00:00;B;31DEC9999:00:00:00;70
763__28JAN2004:00:00:00;763;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100
764__28JAN2004:00:00:00;764;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
764__08FEB2009:00:00:00;764;08FEB2009:00:00:00;B;18JAN2010:00:00:00;80
764__19JAN2010:00:00:00;764;19JAN2010:00:00:00;B;31DEC9999:00:00:00;70
774__28JAN2004:00:00:00;774;28JAN2004:00:00:00;B;18JAN2010:00:00:00;110
774__19JAN2010:00:00:00;774;19JAN2010:00:00:00;B;31DEC9999:00:00:00;90
776__28JAN2004:00:00:00;776;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
776__08FEB2009:00:00:00;776;08FEB2009:00:00:00;B;18JAN2010:00:00:00;90
776__19JAN2010:00:00:00;776;19JAN2010:00:00:00;B;19APR2016:00:00:00;80
776__20APR2016:00:00:00;776;20APR2016:00:00:00;B;31DEC9999:00:00:00;78
777__28JAN2004:00:00:00;777;28JAN2004:00:00:00;B;07FEB2009:00:00:00;120
777__08FEB2009:00:00:00;777;08FEB2009:00:00:00;B;18JAN2010:00:00:00;110
777__19JAN2010:00:00:00;777;19JAN2010:00:00:00;B;10FEB2011:00:00:00;80
777__11FEB2011:00:00:00;777;11FEB2011:00:00:00;B;31MAR2019:00:00:00;75
779__11NOV2007:00:00:00;779;11NOV2007:00:00:00;B;07FEB2009:00:00:00;90
779__08FEB2009:00:00:00;779;08FEB2009:00:00:00;B;18JAN2010:00:00:00;75
779__19JAN2010:00:00:00;779;19JAN2010:00:00:00;B;10FEB2011:00:00:00;65
779__11FEB2011:00:00:00;779;11FEB2011:00:00:00;B;12JUL2017:00:00:00;55
779__13JUL2017:00:00:00;779;13JUL2017:00:00:00;B;31DEC9999:00:00:00;55
780__28JAN2004:00:00:00;780;28JAN2004:00:00:00;B;18JAN2010:00:00:00;100
780__19JAN2010:00:00:00;780;19JAN2010:00:00:00;B;19APR2016:00:00:00;90
780__20APR2016:00:00:00;780;20APR2016:00:00:00;B;31MAR2017:00:00:00;88
780__01APR2017:00:00:00;780;01APR2017:00:00:00;B;13APR2018:00:00:00;85
783__28JAN2004:00:00:00;783;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100
